business_name,city,council_district,dba_name,location_1,location_account,location_description,location_start_date,mailing_address,mailing_city,mailing_zip_code,naics,primary_naics_description,street_address,zip_code
STARBUCKS CORPORATION,MISSION HILLS,7,STARBUCKS COFFEE #5833,"{'latitude': '34.2573', 'longitude': '-118.4696'}",0000400401-0001-8,15501 DEVONSHIRE 91345-2620,2001-02-03T00:00:00.000,POST OFFICE BOX #34442,SEATTLE,98124-1442,445290,Home furnishings stores,15501 DEVONSHIRE STREET,91345-2620
STARBUCKS CORPORATION,WOODLAND HILLS,3,STARBUCKS COFFEE #18869,"{'latitude': '34.1576', 'longitude': '-118.6353'}",0000008207-0011-2,23355 MULHOLLAND 91364-2734,2013-04-04T00:00:00.000,POST OFFICE BOX #34442,SEATTLE,98124-1442,445290,Home furnishings stores,23355 MULHOLLAND DRIVE,91364-2734
STARBUCKS CORPORATION,LOS ANGELES,14,STARBUCKS COFFEE #24871,"{'latitude': '34.0488', 'longitude': '-118.2517'}",0000008207-0032-5,401 5TH 90013-1001,2015-07-02T00:00:00.000,POST OFFICE BOX #34442,SEATTLE,98124-1442,311900,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",401 W 5TH STREET,90013-1001
STARBUCKS CORPORATION,PACIFIC PALISADES,11,STARBUCKS COFFEE #609,"{'latitude': '34.0474', 'longitude': '-118.5257'}",0000155172-0001-5,15300 SUNSET 90272-3613,1994-10-15T00:00:00.000,POST OFFICE BOX #34442,SEATTLE,98124-1442,445290,Home furnishings stores,15300 W SUNSET BLVD,90272-3613
STARBUCKS CORPORATION,NORTH HILLS,7,,"{'latitude': '34.2335', 'longitude': '-118.4674'}",0000024503-0002-3,9000 SEPULVEDA 91343-4308,2005-06-03T00:00:00.000,POST OFFICE BOX #34442,SEATTLE,98124-1442,445290,Home furnishings stores,9000 SEPULVEDA BLVD #8637,91343-4308
STARBUCKS CORPORATION,LOS ANGELES,13,STARBUCKS COFFEE #55650,"{'latitude': '34.0978', 'longitude': '-118.2921'}",0002363980-0015-7,4700 SUNSET 90027-6082,2018-09-27T00:00:00.000,POST OFFICE BOX #34442,SEATTLE,98124-1442,311900,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",4700 W SUNSET BLVD,90027-6082
STARBUCKS CORPORATION,STUDIO CITY,2,STARBUCKS COFFEE #573,"{'latitude': '34.1433', 'longitude': '-118.3975'}",0000115140-0001-0,12170 VENTURA 91604-2514,1994-07-01T00:00:00.000,POST OFFICE BOX #34442,SEATTLE,98124-1442,445290,Home furnishings stores,12170 VENTURA BLVD,91604-2514
STARBUCKS CORPORATION,LOS ANGELES,9,STARBUCKS COFFEE #21800,"{'latitude': '33.9882', 'longitude': '-118.2564'}",0000008207-0018-0,5857 CENTRAL 90001-1127,2014-03-14T00:00:00.000,POST OFFICE BOX #34442,SEATTLE,98124-1442,311900,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",5857 S CENTRAL AVENUE,90001-1127
STARBUCKS CORPORATION,LOS ANGELES,5,STARBUCKS COFFEE #546,"{'latitude': '34.0394', 'longitude': '-118.4298'}",0000072045-0001-5,10911 PICO 90064-2111,1993-03-27T00:00:00.000,POST OFFICE BOX #34442,SEATTLE,98124-1442,445290,Home furnishings stores,10911 W PICO BLVD,90064-2111
STARBUCKS CORPORATION,LOS ANGELES,4,STARBUCKS COFFEE CO #507,"{'latitude': '34.0747', 'longitude': '-118.3236'}",0000860517-0001-7,206 LARCHMONT 90004-3707,1992-01-06T00:00:00.000,POST OFFICE BOX #34442,SEATTLE,98124-1442,445290,Home furnishings stores,206 N LARCHMONT BLVD,90004-3707
