zip_code,dba_name,ownership_name,city,street_address,location,location_start_date,location_end_date
91345,Starbucks Coffee #5833,Starbucks Corporation,Mission Hills,15501 Devonshire Street,"{'latitude': '34.2573', 'longitude': '-118.4696'}",2001-02-03T00:00:00.000,
91364,Starbucks Coffee #18869,Starbucks Corporation,Woodland Hills,23355 Mulholland Drive,"{'latitude': '34.1576', 'longitude': '-118.6353'}",2013-04-04T00:00:00.000,
90013,Starbucks Coffee #24871,Starbucks Corporation,Los Angeles,401 W 5Th Street,"{'latitude': '34.0488', 'longitude': '-118.2517'}",2015-07-02T00:00:00.000,
90272,Starbucks Coffee #609,Starbucks Corporation,Pacific Palisades,15300 W Sunset Blvd,"{'latitude': '34.0474', 'longitude': '-118.5257'}",1994-10-15T00:00:00.000,
91343,,Starbucks Corporation,North Hills,9000 Sepulveda Blvd #8637,"{'latitude': '34.2335', 'longitude': '-118.4674'}",2005-06-03T00:00:00.000,
90027,Starbucks Coffee #55650,Starbucks Corporation,Los Angeles,4700 W Sunset Blvd,"{'latitude': '34.0978', 'longitude': '-118.2921'}",2018-09-27T00:00:00.000,
91604,Starbucks Coffee #573,Starbucks Corporation,Studio City,12170 Ventura Blvd,"{'latitude': '34.1433', 'longitude': '-118.3975'}",1994-07-01T00:00:00.000,
90001,Starbucks Coffee #21800,Starbucks Corporation,Los Angeles,5857 S Central Avenue,"{'latitude': '33.9882', 'longitude': '-118.2564'}",2014-03-14T00:00:00.000,
90064,Starbucks Coffee #546,Starbucks Corporation,Los Angeles,10911 W Pico Blvd,"{'latitude': '34.0394', 'longitude': '-118.4298'}",1993-03-27T00:00:00.000,
90004,Starbucks Coffee Co #507,Starbucks Corporation,Los Angeles,206 N Larchmont Blvd,"{'latitude': '34.0747', 'longitude': '-118.3236'}",1992-01-06T00:00:00.000,
90067,Starbucks Coffee 9233,Starbucks Corporation,Los Angeles,1999 Avenue Of The Stars Suite #100A,"{'latitude': '34.0586', 'longitude': '-118.416'}",1991-01-01T00:00:00.000,
90292,Starbucks Coffee 616,Starbucks Corporation,Marina Del Rey,4264 Lincoln Blvd,"{'latitude': '33.9857', 'longitude': '-118.4435'}",1994-10-29T00:00:00.000,
90025,Starbucks Coffee #5213,Starbucks Corporation,Los Angeles,12100 Santa Monica Blvd,"{'latitude': '34.0405', 'longitude': '-118.4633'}",1996-03-26T00:00:00.000,
90046,Starbucks Coffee #624,Starbucks Corporation,Los Angeles,7624 Melrose Avenue,"{'latitude': '34.0836', 'longitude': '-118.3558'}",1995-01-14T00:00:00.000,
91344,Starbucks Coffee #11895,Starbucks Corporation,Granada Hills,11850 Balboa Blvd Unit #B102,"{'latitude': '34.2854', 'longitude': '-118.502'}",2007-04-27T00:00:00.000,
