zip_code,dba_name,ownership_name,city,street_address,location,location_start_date,location_end_date
98104,Board Of Directors,Starbucks Corporation,Seattle,700 5Th,,2010-07-01T00:00:00.000,
98134,Starbucks Coffee    9303,Starbucks Corporation,Seattle,1962 1St Ave S,,2005-05-06T00:00:00.000,
98134,Starbucks Coffee   100,Starbucks Corporation,Seattle,2401 Utah Ave S,,1993-08-14T00:00:00.000,
98104,Starbucks Coffee   10302,Starbucks Corporation,Seattle,701 5Th Ave # 4020,,2006-09-12T00:00:00.000,
98121,Starbucks Coffee   106,Starbucks Corporation,Seattle,2101 4Th Ave # 150,,1990-01-01T00:00:00.000,
98101,Starbucks Coffee   109 Kiosk,Starbucks Corporation,Seattle,1420 5Th Ave,,1990-01-01T00:00:00.000,
98101,Starbucks Coffee   10927,Starbucks Corporation,Seattle,1301 2Nd Ave #2Nd Fl,,2006-06-23T00:00:00.000,
98104,Starbucks Coffee   112,Starbucks Corporation,Seattle,1101 E Madison St,,1994-03-26T00:00:00.000,
98101,Starbucks Coffee   113,Starbucks Corporation,Seattle,1501 4Th Ave,,1994-03-28T00:00:00.000,
98101,Starbucks Coffee   114,Starbucks Corporation,Seattle,600 University St,,1994-11-01T00:00:00.000,
98101,Starbucks Coffee   115,Starbucks Corporation,Seattle,600 Stewart St,,1994-10-29T00:00:00.000,
98126,Starbucks Coffee   11668,Starbucks Corporation,Seattle,4408 Fauntleroy Way Sw,,2006-11-06T00:00:00.000,
98109,Starbucks Coffee   13915,Starbucks Corporation,Seattle,320 Westlake Ave N,,2007-10-31T00:00:00.000,
98134,Starbucks Coffee   14247,Starbucks Corporation,Seattle,4115 4Th Ave S,,2008-06-27T00:00:00.000,
98101,Starbucks Coffee   14870,Starbucks Corporation,Seattle,102 Pike St,,2009-02-05T00:00:00.000,
98101,Starbucks Coffee   2937,Starbucks Corporation,Seattle,1101 Alaskan Way,,2004-04-15T00:00:00.000,
98101,Starbucks Coffee   301,Starbucks Corporation,Seattle,1912 Pike Pl,,1989-01-01T00:00:00.000,
98105,Starbucks Coffee   302,Starbucks Corporation,Seattle,4634 26Th Ave Ne,,1989-01-01T00:00:00.000,
98102,Starbucks Coffee   304,Starbucks Corporation,Seattle,101  Broadway E #,,1989-01-01T00:00:00.000,
98119,Starbucks Coffee   314,Starbucks Corporation,Seattle,2135 Queen Anne Ave N,,1989-04-29T00:00:00.000,
98136,Starbucks Coffee   3202,Starbucks Corporation,Seattle,6501 California Ave Sw,,1993-08-14T00:00:00.000,
98109,Starbucks Coffee   3204,Starbucks Corporation,Seattle,305 Harrison St # 220,,1995-09-16T00:00:00.000,
98103,Starbucks Coffee   3211,Starbucks Corporation,Seattle,316 N 67Th St,,1996-06-01T00:00:00.000,
98121,Starbucks Coffee   3218,Starbucks Corporation,Seattle,2326 1St Ave,,1999-07-16T00:00:00.000,
98144,Starbucks Coffee   3231,Starbucks Corporation,Seattle,2300 S Jackson St #A,,1997-07-26T00:00:00.000,
98125,Starbucks Coffee   3237,Starbucks Corporation,Seattle,301 Ne Northgate Way # 450,,1997-12-20T00:00:00.000,
98115,Starbucks Coffee   3248,Starbucks Corporation,Seattle,6400 Roosevelt Way Ne,,1999-12-10T00:00:00.000,
98101,Starbucks Coffee   3261,Starbucks Corporation,Seattle,600 Pine St,,1998-10-28T00:00:00.000,
98101,Starbucks Coffee   3289,Starbucks Corporation,Seattle,1420 5Th Ave #226,,1999-09-25T00:00:00.000,
98107,Starbucks Coffee   3294,Starbucks Corporation,Seattle,4400 11Th Ave Nw,,2000-01-04T00:00:00.000,
98121,Starbucks Coffee   3296,Starbucks Corporation,Seattle,211 Lenora St,,1999-12-01T00:00:00.000,
98125,Starbucks Coffee   3297,Starbucks Corporation,Seattle,14359 15Th Ave Ne,,2000-05-27T00:00:00.000,
98133,Starbucks Coffee   3300,Starbucks Corporation,Seattle,13027 Aurora Ave N,,2000-10-14T00:00:00.000,
98144,Starbucks Coffee   3302,Starbucks Corporation,Seattle,2921 M L King Jr Way S,,2000-04-01T00:00:00.000,
98116,Starbucks Coffee   3306,Starbucks Corporation,Seattle,2742 Alki Ave Sw,,1999-12-02T00:00:00.000,
98104,Starbucks Coffee   3307,Starbucks Corporation,Seattle,505 5Th Ave S #120,,2000-09-16T00:00:00.000,
98122,Starbucks Coffee   3324,Starbucks Corporation,Seattle,800 12Th Ave,,2000-07-29T00:00:00.000,
98101,Starbucks Coffee   3343A,Starbucks Corporation,Seattle,400 Pine St St,,2001-11-21T00:00:00.000,
98117,Starbucks Coffee   3346,Starbucks Corporation,Seattle,9999 Holman Rd Nw,,2001-02-17T00:00:00.000,
98104,Starbucks Coffee   3347,Starbucks Corporation,Seattle,999 3Rd Ave,,2001-01-01T00:00:00.000,
98109,Starbucks Coffee   3355,Starbucks Corporation,Seattle,425 Queen Anne Ave N,,2002-01-12T00:00:00.000,
98103,Starbucks Coffee   336,Starbucks Corporation,Seattle,2110 N 45Th St,,1991-10-18T00:00:00.000,
98104,Starbucks Coffee   3362,Starbucks Corporation,Seattle,400 Occidental S,,2001-10-19T00:00:00.000,
98133,Starbucks Coffee   3363,Starbucks Corporation,Seattle,2143 N Northgate Way,,2001-09-28T00:00:00.000,
98106,Starbucks Coffee   3376,Starbucks Corporation,Seattle,9023 25Th Ave Sw,,2002-04-18T00:00:00.000,
98101,Starbucks Coffee   3379,Starbucks Corporation,Seattle,1700 7Th Ave,,2003-11-26T00:00:00.000,
98104,Starbucks Coffee   3391,Starbucks Corporation,Seattle,811 1St Ave S,,2002-11-20T00:00:00.000,
98108,Starbucks Coffee   3408,Starbucks Corporation,Seattle,601 S Michigan St,,2003-05-22T00:00:00.000,
98102,Starbucks Coffee   3448,Starbucks Corporation,Seattle,2352 Eastlake Ave E,,2004-08-13T00:00:00.000,
98125,Starbucks Coffee   358,Starbucks Corporation,Seattle,540 Ne Northgate Way,,1992-12-15T00:00:00.000,
98104,Starbucks Coffee   363,Starbucks Corporation,Seattle,102 1St Ave S,,1993-05-01T00:00:00.000,
98103,Starbucks Coffee   370,Starbucks Corporation,Seattle,3401 Fremont Ave N # B,,1993-08-15T00:00:00.000,
98115,Starbucks Coffee   389,Starbucks Corporation,Seattle,7100 E Green Lake Dr N,,1993-08-14T00:00:00.000,
98101,Starbucks Coffee   392,Starbucks Corporation,Seattle,1125 4Th Ave,,1995-01-01T00:00:00.000,
98105,Starbucks Coffee   7941,Starbucks Corporation,Seattle,4147 University Way Ne,,2004-09-30T00:00:00.000,
98105,Starbucks Coffee   8068,Starbucks Corporation,Seattle,4800 Sand Point Way Ne,,2010-06-15T00:00:00.000,
98125,Starbucks Coffee   8777,Starbucks Corporation,Seattle,14330 Lake City Way Ne,,2005-08-05T00:00:00.000,
