with_advanced_deg,zip_code,total_pop,total_24_29_female,total_30_34_female,total_24_29_male,total_30_34_male,total_24_29_female_wht,total_30_34_female_wht,total_24_29_male_wht,total_30_34_male_wht,total_wht,with_bachelors,year,pct_25_34,pct_college_deg,pct_wht
278,90001,54760,1971,2193,3144,2000,1608,1805,2353,1570,40379,912,2011,17.35025566106647,2.173119065010957,73.7381300219138
3244,90004,63932,2874,2644,2974,3285,1143,886,872,1249,23007,10144,2011,17.4185071638616,20.94099981230057,35.986673340424204
1451,90007,42265,1883,1233,2387,1449,572,403,849,492,14748,2015,2011,15.93753696912339,8.200638826452147,34.89412043061635
325,90010,3229,171,125,131,176,12,33,4,32,713,997,2011,17.095075874883864,40.941467946732736,22.08113967172499
1610,90012,29298,1328,801,2272,1877,389,165,846,707,7628,2833,2011,17.75547818963752,15.164857669465492,26.035906887842174
611,90013,8216,218,254,411,458,139,116,248,315,3046,1284,2011,13.838851022395326,23.064751703992208,37.074001947419674
356,90014,5204,316,134,327,225,134,15,252,108,1942,655,2011,17.50576479631053,19.42736356648732,37.317448116833205
812,90015,17957,881,742,830,1026,226,222,382,318,5863,1262,2011,17.792504315865678,11.549813443225483,32.65021996992816
1375,90016,46871,2119,1659,1694,1612,306,340,311,444,9739,3017,2011,15.214098269719015,9.370399607433168,20.778306415480788
748,90017,22401,1191,1129,1453,1456,274,354,468,456,7187,1394,2011,21.882951653944023,9.562073121735637,32.08338913441364
1233,90018,48212,2197,1698,2356,1956,351,306,301,324,7486,2727,2011,16.48759644901684,8.213722724632872,15.527254625404463
3690,90019,63894,2920,2477,3373,2447,1165,984,1423,1055,23026,10011,2011,17.60259179265659,21.443328012019908,36.03781262716374
2576,90020,40596,2420,1924,2068,2282,569,383,551,503,10303,8870,2011,20.534042762833778,28.194896048871808,25.379347718987095
65,90021,2603,28,117,100,176,0,66,96,86,1248,369,2011,13.907030349596619,16.673069535151747,47.9446792162889
251,90023,44706,1971,1650,1867,1658,917,810,772,616,21521,1136,2011,15.966536930165972,3.1024918355478013,48.138952265915094
8046,90024,49427,2340,1275,2208,1207,1257,740,1439,899,30422,7649,2011,14.360572156918284,31.753899690452585,61.54935561535193
8887,90025,42653,3357,2542,3796,2869,1858,1435,1934,1482,25331,12263,2011,28.689658406208242,49.586195578271166,59.38855414624997
4213,90026,70052,3437,3569,3587,3975,2153,2420,1832,2318,37835,11390,2011,20.21641066636213,22.273454005595845,54.00987837606349
5262,90027,45491,2831,2062,2764,2852,1871,1298,2038,1821,31535,10889,2011,21.364665538238334,35.503726011738586,69.32140423380449
1992,90028,27434,1751,1351,2408,1792,1128,801,1106,1133,16240,6118,2011,25.009112779762336,29.561857549026755,59.19661733615222
1682,90029,38563,1653,1743,2173,2253,755,721,1008,787,15638,4578,2011,18.961180406088737,16.233176879392165,40.5518242875295
712,90031,39076,1627,1318,1269,1954,467,479,539,695,14805,2364,2011,14.157027331354282,7.871839492271471,37.887706008803356
470,90033,49102,1580,1706,2148,1703,826,1046,1049,866,26684,1467,2011,14.541159219583724,3.9448494969655004,54.34401857358152
8354,90034,59662,4659,3765,4886,4406,2334,1805,2761,2065,32358,14296,2011,28.619556836847575,37.96386309543763,54.23552680097885
