business_legal_name,business_phone,city_account_number,city_state_zip,license_start_date,naics_code,naics_description,ownership_type,state,street_address,trade_name,ubi,zip
STARBUCKS CORPORATION,206-555-1212,0001054440643765,SEATTLE,2010-07-01T00:00:00.000,541990,"All Other Professional, Scientific, and Technical Services",Corporation,WA,700 5TH,BOARD OF DIRECTORS,6006111090010001,98104
STARBUCKS CORPORATION,206-318-8705,0001054440585950,SEATTLE,2005-05-06T00:00:00.000,722513,Limited-Service Restaurants,Corporation,WA,1962 1ST AVE S,STARBUCKS COFFEE    9303,6006111090010369,98134
STARBUCKS CORPORATION,206-447-1575,0001054440106297,SEATTLE,1993-08-14T00:00:00.000,722513,Limited-Service Restaurants,Corporation,WA,2401 UTAH AVE S,STARBUCKS COFFEE   100,6006111090010120,98134
STARBUCKS CORPORATION,206-555-1212,0001054440598744,SEATTLE,2006-09-12T00:00:00.000,722513,Limited-Service Restaurants,Corporation,WA,701 5TH AVE # 4020,STARBUCKS COFFEE   10302,6006111090010422,98104
STARBUCKS CORPORATION,206-447-1575,0001054440106279,SEATTLE,1990-01-01T00:00:00.000,722513,Limited-Service Restaurants,Corporation,WA,2101 4TH AVE # 150,STARBUCKS COFFEE   106,6006111090010023,98121
STARBUCKS CORPORATION,206-447-1575,0001054440106280,SEATTLE,1990-01-01T00:00:00.000,722513,Limited-Service Restaurants,Corporation,WA,1420 5TH AVE,STARBUCKS COFFEE   109 KIOSK,6006111090010011,98101
STARBUCKS CORPORATION,206-318-4994,0001054440595075,SEATTLE,2006-06-23T00:00:00.000,722513,Limited-Service Restaurants,Corporation,WA,1301 2ND AVE #2ND FL,STARBUCKS COFFEE   10927,6006111090010403,98101
STARBUCKS CORPORATION,206-447-1575,0001054440106292,SEATTLE,1994-03-26T00:00:00.000,722513,Limited-Service Restaurants,Corporation,WA,1101 E MADISON ST,STARBUCKS COFFEE   112,6006111090010098,98104
STARBUCKS CORPORATION,206-625-1255,0001054440106293,SEATTLE,1994-03-28T00:00:00.000,722513,Limited-Service Restaurants,Corporation,WA,1501 4TH AVE,STARBUCKS COFFEE   113,6006111090010097,98101
STARBUCKS CORPORATION,206-447-1575,0001054440106296,SEATTLE,1994-11-01T00:00:00.000,722513,Limited-Service Restaurants,Corporation,WA,600 UNIVERSITY ST,STARBUCKS COFFEE   114,6006111090010114,98101
STARBUCKS CORPORATION,206-447-1575,0001054440106295,SEATTLE,1994-10-29T00:00:00.000,722513,Limited-Service Restaurants,Corporation,WA,600 STEWART ST,STARBUCKS COFFEE   115,6006111090010113,98101
STARBUCKS CORPORATION,206-318-8705,0001054440599576,SEATTLE,2006-11-06T00:00:00.000,722513,Limited-Service Restaurants,Corporation,WA,4408 FAUNTLEROY WAY SW,STARBUCKS COFFEE   11668,6006111090010426,98126
STARBUCKS CORPORATION,206-318-8705,0001054440609573,SEATTLE,2007-10-31T00:00:00.000,722513,Limited-Service Restaurants,Corporation,WA,320 WESTLAKE AVE N,STARBUCKS COFFEE   13915,6006111090010456,98109
STARBUCKS CORPORATION,206-318-3188,0001054440616250,SEATTLE,2008-06-27T00:00:00.000,722515,Snack and Nonalcoholic Beverage Bars,Corporation,WA,4115 4TH AVE S,STARBUCKS COFFEE   14247,6006111090010475,98134
