business_zip,dba_name,ownership_name,city,full_business_address,neighborhoods_analysis_boundaries,location,location_start_date,location_end_date,lic_code_description
94105,Starbucks Coffee#47903,Starbucks Corporation,San Francisco,299 Fremont St,Financial District/South Beach,,2019-03-11T00:00:00.000,,"Restaurant Less Than 1,000 Sqft"
94105,Starbucks Coffee #5836,Starbucks Corporation,San Francisco,687 Howard St,Financial District/South Beach,,1992-03-03T00:00:00.000,2019-05-16T00:00:00.000,Multiple
94105,Starbucks Coffee #5431,Starbucks Corporation,San Francisco,123 Mission St,Financial District/South Beach,,1992-03-03T00:00:00.000,2017-11-20T00:00:00.000,Multiple
94103,Starbucks Coffee #11239,Starbucks Corporation,San Francisco,675 Townsend,,"{'type': 'Point', 'coordinates': [-122.403105, 37.770669]}",2006-09-15T00:00:00.000,2019-05-16T00:00:00.000,"Restaurant 1,000 - 2,000 Sqft"
94105,Starbucks Coffee #5836,Starbucks Corporation,San Francisco,687 Howard St,,"{'type': 'Point', 'coordinates': [-122.400049, 37.785348]}",2000-10-28T00:00:00.000,2017-05-04T00:00:00.000,
94115,Starbucks Coffee#28986,Starbucks Corporation,San Francisco,2675 Geary Blvd E104,Lone Mountain/USF,,2017-02-23T00:00:00.000,2019-01-07T00:00:00.000,"Restaurant 1,000 - 2,000 Sqft"
94102,Starbucks Coffee #5992,Starbucks Corporation,San Francisco,201 Powell St,Tenderloin,"{'type': 'Point', 'coordinates': [-122.408132, 37.786818]}",2001-09-29T00:00:00.000,2019-01-21T00:00:00.000,Multiple
94103,Starbucks Coffee #5585,Starbucks Corporation,San Francisco,1298 Howard St,South of Market,"{'type': 'Point', 'coordinates': [-122.412671, 37.775381]}",1998-11-05T00:00:00.000,2018-05-14T00:00:00.000,Take-Out Establishment
94104,Starbucks Coffee,Starbucks Corporation,San Francisco,343 Sansome St,Financial District/South Beach,"{'type': 'Point', 'coordinates': [-122.401278, 37.793686]}",1992-03-03T00:00:00.000,2019-01-12T00:00:00.000,Multiple
94103,Starbucks Coffee #11239,Starbucks Corporation,San Francisco,689 Townsend St,Mission Bay,,1992-03-03T00:00:00.000,,Multiple
94114,Starbucks Coffee #5396,Starbucks Corporation,San Francisco,2018 Market St,Castro/Upper Market,,1992-03-03T00:00:00.000,2018-02-19T00:00:00.000,Multiple
94105,Starbucks Coffee#55612,Starbucks Corporation,San Francisco,101 First St,,,2018-11-05T00:00:00.000,,Take-Out Establishment
98134,Starbucks Corporation,Starbucks Corporation,Seattle,2401 Utah Ave,,,2018-01-01T00:00:00.000,,
94133,Starbucks Coffee#54768/,Starbucks Corporation,San Francisco,49 Jefferson St P,North Beach,,2018-04-30T00:00:00.000,,Multiple
94108,Starbucks Coffee#52861,Starbucks Corporation,San Francisco,66 Keanry St,,,2018-03-08T00:00:00.000,,Multiple
94105,Starbucks Coffee#5431,Starbucks Corporation,San Francisco,201 Mission St,Financial District/South Beach,,2017-09-25T00:00:00.000,,Multiple
94108,Starbucks Coffee#49304,Starbucks Corporation,San Francisco,580 California St 150,,,2017-04-27T00:00:00.000,,"Restaurant 1,000 - 2,000 Sqft"
94103,Teavana,Starbucks Corporation,San Francisco,865 Market St #324,,,2016-05-20T00:00:00.000,2017-04-01T00:00:00.000,
94132,Teavana,Starbucks Corporation,San Francisco,3251 20th Ave #216,,,2016-05-20T00:00:00.000,2017-05-04T00:00:00.000,
94103,Teavana #28316,Starbucks Corporation,San Francisco,865 Market St Rm 324,South of Market,"{'type': 'Point', 'coordinates': [-122.406929, 37.784904]}",2016-05-20T00:00:00.000,2017-04-01T00:00:00.000,
94132,Teavana #28323,Starbucks Corporation,San Francisco,3251 20th Ave Rm 216,Lakeshore,"{'type': 'Point', 'coordinates': [-122.475605, 37.727905]}",2016-05-20T00:00:00.000,2018-01-31T00:00:00.000,Retail Food Market W/food Prep. Lt 5001 Sqft
94124,Starbucks Coffee#47471,Starbucks Corporation,San Francisco,3801 3rd St 112,Bayview Hunters Point,"{'type': 'Point', 'coordinates': [-122.388003, 37.742163]}",2016-06-09T00:00:00.000,,Multiple
94158,Starbucks Coffee #25428,Starbucks Corporation,San Francisco,1375 3rd St,Mission Bay,"{'type': 'Point', 'coordinates': [-122.389427, 37.771291]}",2015-10-10T00:00:00.000,,Multiple
